time,temp,press,hum
2019-10-09 22:57:46.863657,20.0,1000.0,10
2019-10-09 23:57:46.863657,20.0,1000.0,10.0
2019-10-09 20:57:46.863657,21.0,1001.0,10.1
2019-10-09 1:57:46.863657,23.0,1003.0,10.299999999999999
2019-10-09 2:57:46.863657,26.0,1006.0,10.6
2019-10-09 3:57:46.863657,30.0,1010.0,11.0
2019-10-09 4:57:46.863657,35.0,1015.0,11.5
2019-10-09 5:57:46.863657,41.0,1021.0,12.1
2019-10-09 6:57:46.863657,48.0,1028.0,12.799999999999999
2019-10-09 7:57:46.863657,56.0,1036.0,13.6
2019-10-09 8:57:46.863657,65.0,1045.0,14.5
2019-10-09 9:57:46.863657,75.0,1055.0,15.5
2019-10-09 10:57:46.863657,86.0,1066.0,16.6
2019-10-09 11:57:46.863657,98.0,1078.0,17.8
2019-10-09 12:57:46.863657,111.0,1091.0,19.1
2019-10-09 13:57:46.863657,125.0,1105.0,20.5
2019-10-09 14:57:46.863657,140.0,1120.0,22.0
2019-10-09 15:57:46.863657,156.0,1136.0,23.6
2019-10-09 16:57:46.863657,173.0,1153.0,25.3
2019-10-09 17:57:46.863657,191.0,1171.0,27.1
2019-10-09 18:57:46.863657,210.0,1190.0,29.0
2019-10-09 19:57:46.863657,230.0,1210.0,31.0
2019-10-09 20:57:46.863657,251.0,1231.0,33.1
2019-10-09 21:57:46.863657,273.0,1253.0,35.300000000000004
